agent_id,call_length,datestamp,lead_id,status
5,5,2023-03-28 23:14:36,AA_894790,VM
5,1477,2023-03-29 00:14:36,AA_894790,S
2,987,2023-03-28 22:14:36,AA_176221,S
1,19,2023-03-30 01:14:36,AA_176221,CB
5,56,2023-03-29 22:14:36,AA_663902,CB
1,8,2023-03-29 22:14:36,AA_663902,VM
2,10,2023-03-28 23:14:36,AA_175593,VM
5,275,2023-03-28 22:14:36,AA_175593,NI
5,2143,2023-03-29 23:14:36,AA_647234,S
2,10,2023-03-30 00:14:36,AA_647234,VM
3,85,2023-03-30 00:14:36,AA_740825,CB
4,4,2023-03-28 23:14:36,AA_740825,VM
4,9,2023-03-30 00:14:36,AA_192116,VM
1,2,2023-03-30 00:14:36,AA_192116,VM
4,2174,2023-03-29 22:14:36,AA_852567,S
5,10,2023-03-29 00:14:36,AA_852567,VM
3,4,2023-03-30 00:14:36,AA_852567,VM
2,9,2023-03-29 01:14:36,AA_665578,VM
1,1,2023-03-29 23:14:36,AA_665578,VM
1,90,2023-03-28 23:14:36,AA_665578,CB
2,8,2023-03-29 22:14:36,AA_164569,VM
4,154,2023-03-30 01:14:36,AA_164569,NI
3,271,2023-03-29 23:14:36,AA_164569,NI
5,3,2023-03-29 22:14:36,AA_4379710,VM
4,2853,2023-03-29 00:14:36,AA_4379710,S
1,46,2023-03-29 23:14:36,AA_4282811,CB
4,114,2023-03-30 00:14:36,AA_4282811,NI
3,3,2023-03-28 22:14:36,AA_6509912,VM
1,1,2023-03-29 00:14:36,AA_6509912,VM
4,1220,2023-03-30 00:14:36,AA_6509912,S
3,1,2023-03-28 22:14:36,AA_8595313,VM
5,217,2023-03-29 23:14:36,AA_8595313,NI
1,8,2023-03-29 00:14:36,AA_8595313,VM
2,5,2023-03-29 00:14:36,AA_8595313,VM
5,111,2023-03-28 23:14:36,AA_6607914,NI
5,1,2023-03-29 23:14:36,AA_6607914,VM
2,2,2023-03-29 01:14:36,AA_6960515,VM
2,10,2023-03-30 01:14:36,AA_6960515,CB
4,146,2023-03-29 23:14:36,AA_6960515,NI
5,2,2023-03-28 23:14:36,AA_9015716,VM
3,4,2023-03-30 01:14:36,AA_9015716,VM
3,271,2023-03-28 22:14:36,AA_3933717,NI
4,8,2023-03-29 01:14:36,AA_3933717,VM
3,35,2023-03-29 22:14:36,AA_3933717,CB
1,8,2023-03-30 00:14:36,AA_1762618,VM
4,50,2023-03-29 01:14:36,AA_1762618,CB
2,1782,2023-03-29 00:14:36,AA_4777419,S
3,5,2023-03-29 01:14:36,AA_4777419,NI
3,9,2023-03-29 22:14:36,AA_8947620,VM
1,3,2023-03-29 01:14:36,AA_8947620,VM
2,2565,2023-03-28 23:14:36,AA_3479921,S
3,185,2023-03-28 23:14:36,AA_3479921,NI
1,9,2023-03-30 00:14:36,AA_3479921,VM
4,100,2023-03-29 01:14:36,AA_3479921,NI
2,238,2023-03-29 00:14:36,AA_2681722,NI
1,10,2023-03-29 23:14:36,AA_2681722,VM
4,9,2023-03-29 01:14:36,AA_2681722,VM
1,10,2023-03-29 22:14:36,AA_2681722,CB
2,1,2023-03-28 23:14:36,AA_2022823,VM
5,5,2023-03-28 22:14:36,AA_2022823,VM
5,48,2023-03-29 01:14:36,AA_2022823,CB
2,3,2023-03-30 01:14:36,AA_2022823,VM
5,9,2023-03-29 22:14:36,AA_6509624,VM
3,86,2023-03-28 23:14:36,AA_6509624,NI
4,56,2023-03-29 23:14:36,AA_2187825,CB
2,1,2023-03-30 00:14:36,AA_2187825,VM
5,53,2023-03-28 23:14:36,AA_7400326,CB
1,263,2023-03-29 00:14:36,AA_7400326,NI
4,2,2023-03-30 01:14:36,AA_7825527,VM
5,3,2023-03-28 22:14:36,AA_7825527,VM
2,4,2023-03-29 01:14:36,AA_3695128,VM
1,191,2023-03-30 00:14:36,AA_3695128,NI
1,5,2023-03-29 22:14:36,AA_4113129,VM
5,1515,2023-03-28 23:14:36,AA_4113129,S
2,146,2023-03-28 22:14:36,AA_6655530,NI
1,9,2023-03-29 01:14:36,AA_6655530,VM
2,239,2023-03-29 01:14:36,AA_7961531,NI
3,89,2023-03-28 22:14:36,AA_7961531,CB
3,29,2023-03-29 01:14:36,AA_7961531,CB
2,88,2023-03-29 22:14:36,AA_4847632,CB
5,1069,2023-03-29 22:14:36,AA_4847632,S
2,5,2023-03-30 01:14:36,AA_4847632,VM
5,1,2023-03-29 23:14:36,AA_4847632,VM
5,9,2023-03-30 01:14:36,AA_4847632,VM
1,167,2023-03-29 01:14:36,AA_9253333,NI
4,287,2023-03-28 22:14:36,AA_9253333,NI
5,8,2023-03-29 23:14:36,AA_9253333,VM
1,930,2023-03-29 23:14:36,AA_9253333,S
5,186,2023-03-30 01:14:36,AA_9253333,NI
2,4,2023-03-30 01:14:36,AA_2309434,VM
2,10,2023-03-29 01:14:36,AA_2309434,VM
2,35,2023-03-30 01:14:36,AA_3012635,NI
1,61,2023-03-28 22:14:36,AA_3012635,CB
3,2,2023-03-29 01:14:36,AA_3804836,VM
3,4,2023-03-30 01:14:36,AA_3804836,VM
5,61,2023-03-30 00:14:36,AA_3804836,NI
4,2855,2023-03-30 01:14:36,AA_3804836,S
2,7,2023-03-29 01:14:36,AA_1285737,VM
1,7,2023-03-30 00:14:36,AA_1285737,VM
3,89,2023-03-29 00:14:36,AA_9137738,CB
3,3,2023-03-29 00:14:36,AA_9137738,VM
5,4,2023-03-28 23:14:36,AA_9137738,VM
5,243,2023-03-28 22:14:36,AA_6899639,NI
4,182,2023-03-28 23:14:36,AA_6899639,NI
3,278,2023-03-28 22:14:36,AA_6899639,NI
5,4,2023-03-28 22:14:36,AA_6899639,VM
1,263,2023-03-29 01:14:36,AA_6899639,NI
3,214,2023-03-30 01:14:36,AA_8254440,NI
5,1,2023-03-30 00:14:36,AA_8254440,VM
2,19,2023-03-29 01:14:36,AA_6838241,CB
2,10,2023-03-29 23:14:36,AA_6838241,VM
4,50,2023-03-29 22:14:36,AA_2294742,CB
1,25,2023-03-30 00:14:36,AA_2294742,NI
5,5,2023-03-29 22:14:36,AA_7887843,VM
3,102,2023-03-28 22:14:36,AA_7887843,NI
3,70,2023-03-29 23:14:36,AA_6756944,NI
2,3,2023-03-28 23:14:36,AA_6756944,VM
3,9,2023-03-29 22:14:36,AA_4070845,VM
3,22,2023-03-30 00:14:36,AA_4070845,NI
2,34,2023-03-28 23:14:36,AA_1735946,CB
5,51,2023-03-28 23:14:36,AA_1735946,CB
