call_centre_code,campaign_id,date_sent,lead_id
1,2,2023/03/30,AA_894790
1,1,2023/03/29,AA_176221
1,3,2023/03/30,AA_663902
2,3,2023/03/29,AA_175593
1,3,2023/03/30,AA_647234
1,3,2023/03/29,AA_740825
2,1,2023/03/30,AA_192116
2,2,2023/03/29,AA_852567
1,3,2023/03/30,AA_665578
2,2,2023/03/29,AA_164569
2,2,2023/03/30,AA_4379710
1,2,2023/03/29,AA_4282811
1,3,2023/03/30,AA_6509912
1,3,2023/03/29,AA_8595313
2,1,2023/03/30,AA_6607914
1,1,2023/03/29,AA_6960515
1,1,2023/03/30,AA_9015716
1,1,2023/03/29,AA_3933717
2,1,2023/03/30,AA_1762618
2,1,2023/03/29,AA_4777419
1,3,2023/03/30,AA_8947620
1,3,2023/03/29,AA_3479921
1,3,2023/03/30,AA_2681722
1,1,2023/03/29,AA_2022823
2,3,2023/03/30,AA_6509624
1,3,2023/03/29,AA_2187825
1,1,2023/03/30,AA_7400326
2,2,2023/03/29,AA_7825527
2,2,2023/03/30,AA_3695128
1,3,2023/03/29,AA_4113129
1,3,2023/03/30,AA_6655530
2,1,2023/03/29,AA_7961531
2,2,2023/03/30,AA_4847632
1,3,2023/03/29,AA_9253333
2,1,2023/03/30,AA_2309434
1,1,2023/03/29,AA_3012635
2,1,2023/03/30,AA_3804836
2,2,2023/03/29,AA_1285737
2,3,2023/03/30,AA_9137738
2,2,2023/03/29,AA_6899639
2,2,2023/03/30,AA_8254440
1,1,2023/03/29,AA_6838241
2,2,2023/03/30,AA_2294742
1,1,2023/03/29,AA_7887843
2,2,2023/03/30,AA_6756944
1,3,2023/03/29,AA_4070845
1,3,2023/03/30,AA_1735946
1,2,2023/03/29,AA_5612647
2,1,2023/03/30,AA_4063048
2,3,2023/03/29,AA_1691449
2,1,2023/03/30,AA_4503650
1,3,2023/03/29,AA_8080251
2,1,2023/03/30,AA_8586452
2,1,2023/03/29,AA_9672753
1,2,2023/03/30,AA_6535354
2,1,2023/03/29,AA_4752055
2,2,2023/03/30,AA_7461356
1,3,2023/03/29,AA_7169857
1,2,2023/03/30,AA_3016658
1,1,2023/03/29,AA_3795659
2,3,2023/03/30,AA_7335360
1,2,2023/03/29,AA_3253961
1,2,2023/03/30,AA_3415462
2,1,2023/03/29,AA_2947863
1,3,2023/03/30,AA_7940764
2,3,2023/03/29,AA_7530465
1,2,2023/03/30,AA_7204766
2,3,2023/03/29,AA_8851967
1,1,2023/03/30,AA_2129768
1,2,2023/03/29,AA_1082269
1,1,2023/03/30,AA_7430470
1,3,2023/03/29,AA_2194571
1,1,2023/03/30,AA_1255872
